original_title,original_artist,spotify_id,spotify_name,spotify_artist,album_name,release_date,popularity,duration_ms,explicit,preview_url,external_urls,artist_genres,artist_popularity,artist_followers,local_preview_path
Shape of You,Ed Sheeran,7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,÷ (Deluxe),2017-03-03,88,233712,False,,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,soft pop,88,122481538,
Blinding Lights,The Weeknd,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,After Hours,2020-03-20,89,200040,False,,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,,93,112229231,
Watermelon Sugar,Harry Styles,6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,Harry Styles,Fine Line,2019-12-13,83,174000,False,,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,,80,34073302,
Levitating,Dua Lipa,5nujrmhLynf4yMoMtj8AQF,Levitating (feat. DaBaby),"Dua Lipa, DaBaby",Future Nostalgia,2020-03-27,82,203064,False,,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF,pop,84,46801057,
Good 4 U,Olivia Rodrigo,4ZtFanR9U6ndgddUvNcjcG,good 4 u,Olivia Rodrigo,SOUR,2021-05-21,82,178146,True,,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG,,84,48746696,
